Gender,Percentile,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79
Men,17.3,18558.835,18413,18603.676,18605,18743.982,19157.454,19562.177,20410.823,21243,22782.314,24832.736,26709.856
Men,17.4,18533,18391.57,18579.888,18591,18720.716,19136,19536.378,20388.874,21222.404,22754.436,24804.936,26679.728
Men,17.5,18511.875,18372,18561,18569.15,18703.9,19113.65,19520,20366,21211.2,22731.65,24791.2,26652.6
Men,17.6,18495.6,18351,18542,18549.616,18685.184,19097,19496.024,20354.952,21199.088,22705.136,24768.784,26633.232
Men,17.7,18479,18337.735,18524,18532.466,18672.918,19078,19478,20327.081,21186.842,22673,24739.92,26620.192
Men,17.8,18463,18314.79,18501.736,18516.124,18655,19060,19465.766,20307.078,21166.988,22660.86,24709.808,26615.888
Men,17.9,18452,18298,18483.948,18488.782,18639.386,19034.042,19444.871,20289.032,21153.134,22643.822,24656.24,26607.96
Men,18,18431.2,18275.9,18465,18473.44,18614.12,19015,19432,20276,21114.4,22622.64,24610.88,26597.2
Men,18.1,18419,18258,18444.372,18450.098,18590.854,18997.238,19416,20254.462,21087,22607.094,24580.704,26593.622
Men,18.2,18397,18237,18427,18432,18572.588,18981.836,19395.59,20239.282,21073.288,22590.34,24553.152,26593.084
Men,18.3,18381,18216,18405,18414,18553.322,18964.868,19372.334,20231,21055.154,22559.568,24536.808,26559.404
Men,18.4,18362,18197,18386,18400,18538,18943,19353,20208.608,21026.912,22522.576,24517.032,26519.592
Men,18.5,18342,18178,18368.22,18379,18520,18926.63,19339.565,20185.74,21007.01,22508.38,24508.88,26515.82
Men,18.6,18320.47,18156,18345,18356.388,18502,18908,19326.514,20169.486,20995.156,22482.892,24489.56,26508.376
Men,18.7,18303.365,18139.285,18324,18343,18478,18893.478,19307,20151.611,20974.906,22444.214,24482.736,26471.792
Men,18.8,18285.26,18119,18306,18320.704,18463,18877,19289.412,20129.176,20950.448,22411.56,24473.792,26438.232
Men,18.9,18265,18101,18289,18300,18445,18853.022,19264,20116.278,20932,22403.43,24469,26412.946
Men,19,18245.05,18087,18273,18280.02,18424.46,18836.62,19241.31,20100.07,20920,22389.48,24456.4,26394.48
Men,19.1,18226.89,18062.505,18252,18261,18401.194,18815.436,19225.259,20074.741,20912,22369.834,24441.12,26385.872
Men,19.2,18208.84,18048,18231,18241.336,18383.928,18799,19211,20048,20904.032,22358.608,24431.504,26366.904
Men,19.3,18193,18034,18211.916,18220.994,18364,18784,19192.157,20022.372,20888.534,22348.382,24402.664,26339.466
Men,19.4,18177.63,18018,18196,18195,18341,18768.024,19178.106,19999.788,20862.268,22329.468,24395.216,26321.328
Men,19.5,18157.525,18001,18177,18174.31,18320.13,18751.61,19162.11,19976,20849,22307.65,24378.24,26307.34
Men,19.6,18139.42,17988,18160.552,18157,18302.456,18733.208,19145,19956,20825.616,22285.448,24363.832,26296.936
Men,19.7,18121.315,17974,18143.764,18138.252,18277.598,18715,19129.953,19934,20811,22255.78,24342.008,26287.252
Men,19.8,18098.42,17963,18120.976,18114.284,18258.332,18701.404,19110.804,19914.098,20799,22241,24332.176,26264.992
Men,19.9,18081.105,17947.945,18107,18100,18235.066,18684.002,19095,19895,20784,22234.026,24302.472,26239.73
Men,20,18062,17936,18087,18087.6,18217,18659.6,19080,19871.4,20773.6,22218.4,24238,26194
Men,20.1,18047.895,17920,18068.612,18068,18200.534,18642.198,19062,19857.502,20752.692,22197.444,24164.56,26153.376
Men,20.2,18032.58,17906,18049,18053.916,18184.268,18623.592,19045,19837.906,20735.984,22180.348,24136.48,26127.552
Men,20.3,18014.685,17890,18035.036,18040.574,18162,18609,19016,19821.353,20718.19,22169.732,24121.736,26091.456
Men,20.4,17998.16,17879,18019.496,18027,18142.736,18590.992,18998.192,19807.808,20695.784,22159.896,24103.416,26039.808
Men,20.5,17979,17868,18001,18006.89,18128,18573,18975.545,19786,20680.86,22150,24069.36,26009.04
Men,20.6,17967.74,17856.33,17988,17992,18112.204,18552.376,18958.988,19769.518,20653.532,22118.664,24033.072,25996.128
Men,20.7,17955,17845.385,17973.884,17975,18095.938,18536.572,18942,19746.456,20643.222,22089.436,24021.888,25957.23
Men,20.8,17942,17834.44,17958,17960,18071,18511.384,18924,19734.608,20627,22075.96,24002.472,25906.12
Men,20.9,17928,17819,17946,17943,18055.406,18491.982,18909.341,19724,20613.57,22050.98,23986.288,25874.458
Men,21,17913,17807.55,17932.52,17931,18043,18475.16,18897.58,19704,20602.32,22019.54,23967.8,25847.02
Men,21.1,17898,17797,17917.732,17918,18019,18461.178,18882,19687,20583.224,22016,23950.632,25844.446
Men,21.2,17882,17785.66,17905.944,17905.992,18007,18446.776,18867,19664.812,20565.952,22001.176,23906.776,25839.024
Men,21.3,17873,17777.715,17892.156,17895,17991.342,18426.374,18855.137,19645,20556.098,21974.448,23899.232,25800.826
Men,21.4,17858.53,17759,17879,17881,17977.076,18410.916,18844,19636.914,20541.244,21942.452,23889.936,25770.284
Men,21.5,17845.425,17747.825,17866,17868.47,17964,18396,18833.035,19621.965,20524.39,21915.38,23879.6,25763.29
Men,21.6,17833.32,17737,17851.792,17857,17952.544,18375.168,18824,19610,20512.536,21879.736,23829.056,25757.752
Men,21.7,17821.215,17726,17838,17842.786,17935,18363,18816,19597.067,20490.728,21866.958,23824.44,25754.524
Men,21.8,17808.22,17715.99,17824,17826,17921.012,18347.364,18799.882,19585.118,20468.656,21856.732,23802.416,25743.912
Men,21.9,17801,17705,17810.428,17812,17912.746,18328,18781.831,19569.169,20457.948,21830.542,23794.976,25726.696
Men,22,17790,17694.1,17799,17798.76,17903,18315.8,18768.78,19550.22,20439.96,21796.24,23781.4,25714.16
Men,22.1,17777.795,17681,17786,17785.418,17877.214,18294.474,18751,19533,20425.266,21786.162,23750.032,25703.938
Men,22.2,17768,17667,17776,17772,17863.948,18279.756,18740.678,19514.644,20400.412,21751.14,23743.688,25668.864
Men,22.3,17756.585,17655,17764,17756,17852.682,18253,18723.627,19492.373,20389.558,21724.438,23735.872,25627.976
Men,22.4,17745.48,17643,17750,17744,17832.416,18239.952,18712.728,19476.272,20384.112,21696.632,23727.224,25613.2
